"","...1","Date","Competition","...4","VT","UB","BB","FX","AA","Full_Name","Nation","Birthdate","comp_year","Comp_Year","Age"
"14054",14054,"Apr 26-28","All-Japan Championships","QF",13.233,13.533,12.1,12.1,50.966,"Mori Aoka","Japan",2001-06-04,NA,2020,22
"14055",14055,"Nov 24-25","All-Japan Team Championships","AA",14.133,13.433,11.933,11.833,51.332,"Mori Aoka","Japan",2001-06-04,NA,2019,22
"14056",14056,"Apr 27-29","All-Japan Championships","AA",14.3,9.7,11.333,12.366,47.699,"Mori Aoka","Japan",2001-06-04,NA,2019,22
"14057",14057,"Nov 25-26","All-Japan Team Championships","AA",13.5,NA,NA,NA,NA,"Mori Aoka","Japan",2001-06-04,NA,2018,22
"14058",14058,"May 20-21","NHK Trophy","AA",14.1,12.2,11.4,11.85,49.55,"Mori Aoka","Japan",2001-06-04,NA,2018,22
"14059",14059,"Apr 7-9","All-Japan Championships","AA",13.75,12.95,11.9,12.3,50.9,"Mori Aoka","Japan",2001-06-04,NA,2018,22
"14060",14060,"Apr 7-9","All-Japan Championships","QF",13.6,13.1,11.75,12.4,50.85,"Mori Aoka","Japan",2001-06-04,NA,2018,22
"14061",14061,"Nov 11-13","All-Japan Team Championships","AA",13.85,13.25,NA,12.6,NA,"Mori Aoka","Japan",2001-06-04,NA,2017,22
"14062",14062,"Dec 10-11","All-Japan Team Championships","AA",NA,13.566,12.633,12.866,NA,"Nakamura Haruka","Japan",2008-05-18,NA,2023,15
"14063",14063,"Jun 18-19","All-Japan Event Championships","EF",NA,11.666,12.933,NA,NA,"Nakamura Haruka","Japan",2008-05-18,NA,2023,15
"14064",14064,"Jun 18-19","All-Japan Event Championships","QF",NA,13.233,13.033,NA,NA,"Nakamura Haruka","Japan",2008-05-18,NA,2023,15
"14065",14065,"Apr 21-24","All-Japan Championships","QF",12.2,13.566,12.4,9.566,47.732,"Nakamura Haruka","Japan",2008-05-18,NA,2023,15
"14066",14066,"Dec 11-12","All-Japan Team Championships","AA",12.8,12.266,12.166,11.966,49.198,"Nakamura Haruka","Japan",2008-05-18,NA,2022,15
"14067",14067,"Jun 5-6","All-Japan Event Championships","QF",NA,NA,NA,11.066,NA,"Nakamura Haruka","Japan",2008-05-18,NA,2022,15
"14068",14068,"Dec 10-13","All-Japan Championships","AA",13.533,13.466,13.1,11.266,51.365,"Nakamura Yumika","Japan",1997-06-21,NA,2021,26
"14069",14069,"Dec 10-13","All-Japan Championships","QF",13.466,13.466,13.1,12.666,52.698,"Nakamura Yumika","Japan",1997-06-21,NA,2021,26
"14070",14070,"Sep 20-22","All-Japan Senior Championships","AA",13.466,12.4,12.766,12.466,51.098,"Nakamura Yumika","Japan",1997-06-21,NA,2021,26
"14071",14071,"Nov 9-10","All-Japan Team Championships","AA",NA,13.8,13,12.8,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2020,26
"14072",14072,"Aug 20-22","All-Japan Student Championships","EF",NA,13.833,NA,12.966,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2020,26
"14073",14073,"Aug 20-22","All-Japan Student Championships","AA",13.466,13.866,12.466,12.9,52.698,"Nakamura Yumika","Japan",1997-06-21,NA,2020,26
"14074",14074,"Jun 21-23","All-Japan Event Championships","EF",NA,13.566,13.033,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2020,26
"14075",14075,"Jun 21-23","All-Japan Event Championships","QF",NA,13.466,13,12.766,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2020,26
"14076",14076,"May 18-19","NHK Trophy","AA",12.966,13.433,11.6,12.6,50.599,"Nakamura Yumika","Japan",1997-06-21,NA,2020,26
"14077",14077,"Apr 26-28","All-Japan Championships","AA",13.4,13.433,11.866,12.933,51.632,"Nakamura Yumika","Japan",1997-06-21,NA,2020,26
"14078",14078,"Apr 26-28","All-Japan Championships","QF",13.3,13.4,12.366,12.9,51.966,"Nakamura Yumika","Japan",1997-06-21,NA,2020,26
"14079",14079,"Mar 20-23","Doha World Cup","EF",NA,12.933,11.8,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2020,26
"14080",14080,"Mar 20-23","Doha World Cup","QF",NA,13.1,12.9,12.366,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2020,26
"14081",14081,"Nov 24-25","All-Japan Team Championships","AA",NA,13.1,11.9,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2019,26
"14082",14082,"Aug 20-24","Asian Games","EF",NA,13.075,NA,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2019,26
"14083",14083,"Aug 20-24","Asian Games","TF",NA,13.5,12.8,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2019,26
"14084",14084,"Aug 20-24","Asian Games","QF",NA,13.3,12.1,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2019,26
"14085",14085,"Jun 30-Jul 1","All-Japan Event Championships","EF",NA,13.066,NA,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2019,26
"14086",14086,"Jun 30-Jul 1","All-Japan Event Championships","QF",NA,12.966,NA,12.166,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2019,26
"14087",14087,"May 19-20","NHK Trophy","AA",13.166,12.833,12,12.566,50.565,"Nakamura Yumika","Japan",1997-06-21,NA,2019,26
"14088",14088,"Apr 27-29","All-Japan Championships","AA",13.133,12.766,12.1,12.633,50.632,"Nakamura Yumika","Japan",1997-06-21,NA,2019,26
"14089",14089,"Apr 27-29","All-Japan Championships","QF",12.966,13,11.6,12.4,49.966,"Nakamura Yumika","Japan",1997-06-21,NA,2019,26
"14090",14090,"Nov 25-26","All-Japan Team Championships","AA",NA,12.95,13.3,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2018,26
"14091",14091,"Aug 19-29","Summer Universiade","EF",NA,13.3,NA,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2018,26
"14092",14092,"Aug 19-29","Summer Universiade","AA",NA,13.35,11.7,12.45,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2018,26
"14093",14093,"Aug 8-10","All-Japan Student Championships","EF",NA,13.2,NA,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2018,26
"14094",14094,"Aug 8-10","All-Japan Student Championships","AA",13.3,13.25,13.4,13,52.95,"Nakamura Yumika","Japan",1997-06-21,NA,2018,26
"14095",14095,"Jun 24-25","All-Japan Event Championships","EF",NA,12.9,NA,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2018,26
"14096",14096,"Jun 24-25","All-Japan Event Championships","AA",NA,13.2,NA,11.35,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2018,26
"14097",14097,"May 20-21","NHK Trophy","AA",13.4,13.15,11.75,12.3,50.6,"Nakamura Yumika","Japan",1997-06-21,NA,2018,26
"14098",14098,"Apr 7-9","All-Japan Championships","AA",13.6,13.3,12.75,12.35,52,"Nakamura Yumika","Japan",1997-06-21,NA,2018,26
"14099",14099,"Apr 7-9","All-Japan Championships","QF",13.6,13.3,12.85,12.4,52.15,"Nakamura Yumika","Japan",1997-06-21,NA,2018,26
"14100",14100,"Feb 17-19","WOGA Classic","AA",13.7,12.2,13.3,12.8,52,"Nakamura Yumika","Japan",1997-06-21,NA,2018,26
"14101",14101,"Nov 11-13","All-Japan Team Championships","AA",NA,12.45,NA,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2017,26
"14102",14102,"Aug 19-21","All-Japan Student Championships","EF",NA,12.75,NA,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2017,26
"14103",14103,"Aug 19-21","All-Japan Student Championships","AA",13.8,13.85,13.35,13.55,54.55,"Nakamura Yumika","Japan",1997-06-21,NA,2017,26
"14104",14104,"Jun 4-5","All-Japan Event Championships","QF",NA,12.65,NA,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2017,26
"14105",14105,"Apr 1-3","All-Japan Championships","QF",13.25,13.85,12.05,11.6,50.75,"Nakamura Yumika","Japan",1997-06-21,NA,2017,26
"14106",14106,"Jun 20-21","All-Japan Event Championships","AA",NA,13.7,NA,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2016,26
"14107",14107,"Jun 20-21","All-Japan Event Championships","AA",NA,13.55,NA,NA,NA,"Nakamura Yumika","Japan",1997-06-21,NA,2016,26
"14108",14108,"Apr 24-26","All-Japan Championships","QF",13.35,13.55,11.8,11.9,50.6,"Nakamura Yumika","Japan",1997-06-21,NA,2016,26
"14109",14109,"Dec 10-11","All-Japan Team Championships","AA",13.133,12.133,12.733,12.333,50.332,"Ogawa Asuka","Japan",2000-06-24,NA,2023,23
"14110",14110,"Jun 18-19","All-Japan Event Championships","QF",NA,NA,11.733,NA,NA,"Ogawa Asuka","Japan",2000-06-24,NA,2023,23
"14111",14111,"Apr 21-24","All-Japan Championships","QF",12.966,10.866,13,12,48.832,"Ogawa Asuka","Japan",2000-06-24,NA,2023,23
"14112",14112,"Dec 11-12","All-Japan Team Championships","AA",13.4,11.6,11.566,12.233,48.799,"Ogawa Asuka","Japan",2000-06-24,NA,2022,23
"14113",14113,"Jun 5-6","All-Japan Event Championships","EF",13.849,NA,NA,NA,NA,"Ogawa Asuka","Japan",2000-06-24,NA,2022,23
"14114",14114,"Jun 5-6","All-Japan Event Championships","QF",13.716,NA,NA,NA,NA,"Ogawa Asuka","Japan",2000-06-24,NA,2022,23
"14115",14115,"Apr 15-18","All-Japan Championships","QF",13.5,11.6,12.233,12.3,49.633,"Ogawa Asuka","Japan",2000-06-24,NA,2022,23
"14116",14116,"Oct 19-23","All-Japan Student Championships","AA",13.5,11.6,10.3,12.666,48.066,"Ogawa Asuka","Japan",2000-06-24,NA,2021,23
"14117",14117,"1-Dec","Japanese International Trials","AA",14.033,11.1,11.233,12.1,48.466,"Ogawa Asuka","Japan",2000-06-24,NA,2020,23
"14118",14118,"Nov 9-10","All-Japan Team Championships","AA",12.833,11.933,11.2,12.1,48.066,"Ogawa Asuka","Japan",2000-06-24,NA,2020,23
"14119",14119,"Aug 20-22","All-Japan Student Championships","EF",13.433,NA,NA,NA,NA,"Ogawa Asuka","Japan",2000-06-24,NA,2020,23
"14120",14120,"Aug 20-22","All-Japan Student Championships","AA",13.6,11.966,9.833,12.033,47.432,"Ogawa Asuka","Japan",2000-06-24,NA,2020,23
"14121",14121,"Jun 21-23","All-Japan Event Championships","QF",12.699,NA,NA,NA,NA,"Ogawa Asuka","Japan",2000-06-24,NA,2020,23
"14122",14122,"Apr 26-28","All-Japan Championships","QF",13.4,8.8,11.433,11.933,45.566,"Ogawa Asuka","Japan",2000-06-24,NA,2020,23
"14123",14123,"Feb 21-24","Melbourne World Cup","EF",12.962,NA,NA,NA,NA,"Ogawa Asuka","Japan",2000-06-24,NA,2020,23
"14124",14124,"Feb 21-24","Melbourne World Cup","QF",13.574,NA,NA,NA,NA,"Ogawa Asuka","Japan",2000-06-24,NA,2020,23
"14125",14125,"2-Dec","Japanese World Cup Trials","AA",13.65,NA,10.85,NA,NA,"Ogawa Asuka","Japan",2000-06-24,NA,2019,23
"14126",14126,"Jun 30-Jul 1","All-Japan Event Championships","EF",13.583,NA,NA,NA,NA,"Ogawa Asuka","Japan",2000-06-24,NA,2019,23
"14127",14127,"Jun 30-Jul 1","All-Japan Event Championships","QF",13.699,NA,NA,NA,NA,"Ogawa Asuka","Japan",2000-06-24,NA,2019,23
"14128",14128,"Apr 27-29","All-Japan Championships","QF",13.066,11.2,10.966,12.2,47.432,"Ogawa Asuka","Japan",2000-06-24,NA,2019,23
"14129",14129,"Nov 25-26","All-Japan Team Championships","AA",12.65,11.85,12.45,12.3,49.25,"Ogawa Asuka","Japan",2000-06-24,NA,2018,23
"14130",14130,"Jun 24-25","All-Japan Event Championships","QF",12.925,NA,NA,NA,NA,"Ogawa Asuka","Japan",2000-06-24,NA,2018,23
"14131",14131,"Jun 20-21","All-Japan Event Championships","QF",13.275,NA,NA,12.6,NA,"Ogawa Asuka","Japan",2000-06-24,NA,2017,23
"14132",14132,"Jul 5-6","All-Japan Event Championships","QF",NA,NA,NA,7.4,NA,"Ogawa Asuka","Japan",2000-06-24,NA,2015,23
"14133",14133,"Jun 21-23","All-Japan Event Championships","QF",NA,NA,12.266,NA,NA,"Oguchi Mana","Japan",2002-01-02,NA,2021,21
"14134",14134,"Mar 14-17","Baku World Cup","EF",NA,NA,13.2,NA,NA,"Oguchi Mana","Japan",2002-01-02,NA,2021,21
"14135",14135,"Mar 14-17","Baku World Cup","QF",NA,NA,12.566,11.133,NA,"Oguchi Mana","Japan",2002-01-02,NA,2021,21
"14136",14136,"Feb 21-24","Melbourne World Cup","EF",NA,NA,13.066,NA,NA,"Oguchi Mana","Japan",2002-01-02,NA,2021,21
"14137",14137,"Feb 21-24","Melbourne World Cup","QF",NA,NA,12.733,11.4,NA,"Oguchi Mana","Japan",2002-01-02,NA,2021,21
"14138",14138,"2-Dec","Japanese World Cup Trials","AA",NA,NA,13.55,13.6,NA,"Oguchi Mana","Japan",2002-01-02,NA,2019,21
"14139",14139,"May 19-20","NHK Trophy","AA",13.2,11.633,12,13.133,49.966,"Oguchi Mana","Japan",2002-01-02,NA,2019,21
"14140",14140,"Apr 27-29","All-Japan Championships","AA",13.166,11.866,10.933,12.133,48.098,"Oguchi Mana","Japan",2002-01-02,NA,2019,21
"14141",14141,"Apr 27-29","All-Japan Championships","QF",12.866,11.9,11.5,13.566,49.832,"Oguchi Mana","Japan",2002-01-02,NA,2019,21
"14142",14142,"Jun 24-25","All-Japan Event Championships","EF",13.475,NA,13.25,13.45,NA,"Oguchi Mana","Japan",2002-01-02,NA,2018,21
"14143",14143,"Jun 24-25","All-Japan Event Championships","QF",13.5,NA,13.05,12.9,NA,"Oguchi Mana","Japan",2002-01-02,NA,2018,21
"14144",14144,"Jun 3-4","Gym Festival Trnava","EF",13.55,3.4,12.367,13.9,NA,"Oguchi Mana","Japan",2002-01-02,NA,2018,21
"14145",14145,"Jun 3-4","Gym Festival Trnava","AA",13.85,12.333,12.5,13.767,52.45,"Oguchi Mana","Japan",2002-01-02,NA,2018,21
"14146",14146,"May 16-21","Asian Junior Championships","EF",13.263,NA,12.675,12.125,NA,"Oguchi Mana","Japan",2002-01-02,NA,2018,21
"14147",14147,"May 16-21","Asian Junior Championships","AA",13.7,11.8,12.55,13.65,51.7,"Oguchi Mana","Japan",2002-01-02,NA,2018,21
"14148",14148,"Jun 4-5","All-Japan Event Championships","QF",NA,NA,13.1,12.85,NA,"Oguchi Mana","Japan",2002-01-02,NA,2017,21
"14149",14149,"5-May","NHK Trophy","AA",13.6,11.55,13.15,13.55,51.85,"Oguchi Mana","Japan",2002-01-02,NA,2017,21
"14150",14150,"Apr 8-10","Pacific Rim Championships","EF",13.325,NA,NA,13.5,NA,"Oguchi Mana","Japan",2002-01-02,NA,2017,21
"14151",14151,"Apr 8-10","Pacific Rim Championships","AA",14.3,11.55,12.9,13.8,52.55,"Oguchi Mana","Japan",2002-01-02,NA,2017,21
"14152",14152,"Apr 1-3","All-Japan Championships","AA",13.8,11.8,11.85,13.2,50.65,"Oguchi Mana","Japan",2002-01-02,NA,2017,21
"14153",14153,"Apr 1-3","All-Japan Championships","QF",13.7,11.25,12.55,14.25,51.75,"Oguchi Mana","Japan",2002-01-02,NA,2017,21
"14154",14154,"Mar 3-6","International Gymnix","EF",NA,NA,NA,12.25,NA,"Oguchi Mana","Japan",2002-01-02,NA,2017,21
"14155",14155,"Mar 3-6","International Gymnix","AA",13.125,12.325,13.4,13.975,52.825,"Oguchi Mana","Japan",2002-01-02,NA,2017,21
"14156",14156,"Dec 10-11","All-Japan Team Championships","AA",13.166,13.766,13.9,12.966,53.798,"Okamura Mana","Japan",2005-05-28,NA,2023,18
"14157",14157,"Jun 18-19","All-Japan Event Championships","EF",NA,NA,13.2,NA,NA,"Okamura Mana","Japan",2005-05-28,NA,2023,18
"14158",14158,"Jun 18-19","All-Japan Event Championships","QF",NA,12.4,13.4,NA,NA,"Okamura Mana","Japan",2005-05-28,NA,2023,18
"14159",14159,"May 14-15","NHK Trophy","AA",13.1,13.266,13.5,12.533,52.399,"Okamura Mana","Japan",2005-05-28,NA,2023,18
"14160",14160,"Apr 21-24","All-Japan Championships","AA",12.933,12.033,12.8,12.4,50.166,"Okamura Mana","Japan",2005-05-28,NA,2023,18
"14161",14161,"Apr 21-24","All-Japan Championships","QF",12.9,13.433,12.933,12.466,51.732,"Okamura Mana","Japan",2005-05-28,NA,2023,18
"14162",14162,"Dec 11-12","All-Japan Team Championships","AA",NA,13.333,11.766,12.533,NA,"Okamura Mana","Japan",2005-05-28,NA,2022,18
"14163",14163,"Jun 5-6","All-Japan Event Championships","EF",NA,NA,12.766,NA,NA,"Okamura Mana","Japan",2005-05-28,NA,2022,18
"14164",14164,"Jun 5-6","All-Japan Event Championships","QF",NA,11.466,12.9,NA,NA,"Okamura Mana","Japan",2005-05-28,NA,2022,18
"14165",14165,"May 15-16","NHK Trophy","AA",13.433,12.8,12.733,12.566,51.532,"Okamura Mana","Japan",2005-05-28,NA,2022,18
"14166",14166,"Apr 15-18","All-Japan Championships","AA",12.3,12.433,12.5,12.7,49.933,"Okamura Mana","Japan",2005-05-28,NA,2022,18
"14167",14167,"Apr 15-18","All-Japan Championships","QF",13.133,13.1,13.4,12.966,52.599,"Okamura Mana","Japan",2005-05-28,NA,2022,18
"14168",14168,"Dec 10-13","All-Japan Championships","AA",13.6,12.9,12.866,12.333,51.699,"Okamura Mana","Japan",2005-05-28,NA,2021,18
"14169",14169,"Dec 10-13","All-Japan Championships","QF",13.5,12.966,13.366,12.233,52.065,"Okamura Mana","Japan",2005-05-28,NA,2021,18
"14170",14170,"Jan 31-Feb 2","WOGA Classic","AA",13.35,13.55,13.1,12.05,52.05,"Okamura Mana","Japan",2005-05-28,NA,2021,18
"14171",14171,"Aug 12-17","All-Japan Junior Championships","AA",13.833,12.2,12.933,12.933,51.899,"Okamura Mana","Japan",2005-05-28,NA,2020,18
"14172",14172,"Jun 21-23","All-Japan Event Championships","QF",13.149,NA,12.666,NA,NA,"Okamura Mana","Japan",2005-05-28,NA,2020,18
"14173",14173,"Jun 30-Jul 1","All-Japan Event Championships","QF",12.899,NA,12.033,NA,NA,"Okamura Mana","Japan",2005-05-28,NA,2019,18
"14174",14174,"Aug 12-17","All-Japan Junior Championships","AA",13.1,11,11.466,10.633,46.199,"Saito Kanako","Japan",NA,NA,2022,NA
"14175",14175,"Dec 10-11","All-Japan Team Championships","AA",14.166,NA,11.966,13.366,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2023,21
"14176",14176,"Oct 29-Nov 6","World Championships","TF",14.2,NA,13,13.2,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2023,21
"14177",14177,"Oct 29-Nov 6","World Championships","QF",14,NA,13.466,13.066,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2023,21
"14178",14178,"Jun 18-19","All-Japan Event Championships","EF",13.599,NA,13.3,13.233,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2023,21
"14179",14179,"Jun 18-19","All-Japan Event Championships","QF",13.683,NA,13.033,13,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2023,21
"14180",14180,"May 14-15","NHK Trophy","AA",14.166,12.533,13.4,13.266,53.365,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2023,21
"14181",14181,"Apr 21-24","All-Japan Championships","AA",13.966,11.4,13.233,13.3,51.899,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2023,21
"14182",14182,"Apr 21-24","All-Japan Championships","QF",14,12.766,12.166,13.133,52.065,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2023,21
"14183",14183,"Dec 11-12","All-Japan Team Championships","AA",14.533,NA,13.6,13.233,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2022,21
"14184",14184,"Jun 5-6","All-Japan Event Championships","EF",NA,NA,NA,13.2,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2022,21
"14185",14185,"Jun 5-6","All-Japan Event Championships","QF",NA,NA,12.033,13.1,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2022,21
"14186",14186,"May 15-16","NHK Trophy","AA",14.433,12.066,11.533,12.733,50.765,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2022,21
"14187",14187,"Apr 15-18","All-Japan Championships","AA",14.5,12.3,12.933,12.933,52.666,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2022,21
"14188",14188,"Apr 15-18","All-Japan Championships","QF",12.866,12.4,13.066,13.033,51.365,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2022,21
"14189",14189,"Dec 10-13","All-Japan Championships","AA",14.7,12.3,13.066,12.966,53.032,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2021,21
"14190",14190,"Dec 10-13","All-Japan Championships","QF",14.8,12.6,13.333,13.1,53.833,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2021,21
"14191",14191,"Sep 20-22","All-Japan Senior Championships","AA",14.633,12.666,13.1,12.866,53.265,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2021,21
"14192",14192,"Feb 20-23","Melbourne World Cup","EF",NA,NA,12.4,NA,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2021,21
"14193",14193,"Feb 20-23","Melbourne World Cup","QF",12.666,NA,13.066,NA,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2021,21
"14194",14194,"Dec 14-15","Toyota International","EF",12.983,NA,13.166,NA,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2020,21
"14195",14195,"Nov 21-24","Cottbus World Cup","EF",14.066,NA,12,NA,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2020,21
"14196",14196,"Nov 21-24","Cottbus World Cup","QF",14.116,NA,14.1,12.233,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2020,21
"14197",14197,"Nov 9-10","All-Japan Team Championships","AA",14.7,13,12.533,13,53.233,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2020,21
"14198",14198,"Aug 12-17","All-Japan Junior Championships","AA",14.6,13.1,13.466,12.566,53.732,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2020,21
"14199",14199,"Jun 19-22","Asian Championships","EF",13.584,NA,NA,NA,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2020,21
"14200",14200,"Jun 19-22","Asian Championships","AA",13.75,11.9,11.95,12.2,49.8,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2020,21
"14201",14201,"May 18-19","NHK Trophy","AA",14.433,12.266,13.466,12.7,52.865,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2020,21
"14202",14202,"Apr 26-28","All-Japan Championships","AA",14.366,12.2,12.666,12.666,51.898,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2020,21
"14203",14203,"Apr 26-28","All-Japan Championships","QF",14.366,12.433,13.3,12.966,53.065,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2020,21
"14204",14204,"Mar 20-23","Doha World Cup","QF",13.233,NA,NA,NA,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2020,21
"14205",14205,"Feb 21-24","Melbourne World Cup","EF",13.833,NA,NA,NA,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2020,21
"14206",14206,"Feb 21-24","Melbourne World Cup","QF",13.733,NA,NA,NA,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2020,21
"14207",14207,"2-Dec","Japanese World Cup Trials","AA",13.95,NA,NA,NA,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2019,21
"14208",14208,"Nov 24-25","All-Japan Team Championships","AA",14.366,11.633,12.433,12.333,50.765,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2019,21
"14209",14209,"Jun 30-Jul 1","All-Japan Event Championships","EF",13.916,NA,NA,NA,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2019,21
"14210",14210,"Jun 30-Jul 1","All-Japan Event Championships","QF",14,NA,NA,NA,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2019,21
"14211",14211,"Apr 27-29","All-Japan Championships","QF",14.466,11.766,9.7,12.9,48.832,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2019,21
"14212",14212,"Sep 16-17","Junior Japan International","EF",14.099,NA,NA,12.7,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2018,21
"14213",14213,"Sep 16-17","Junior Japan International","AA",14.55,12.15,11.3,12.9,50.9,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2018,21
"14214",14214,"Jun 24-25","All-Japan Event Championships","QF",13.15,NA,NA,11.15,NA,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2018,21
"14215",14215,"Apr 7-9","All-Japan Championships","QF",13.65,9.85,11.6,12,47.1,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2018,21
"14216",14216,"Nov 11-13","All-Japan Team Championships","QF",13.8,12.2,12.65,13.15,51.8,"Sakaguchi Ayaka","Japan",2002-07-11,NA,2017,21
"14217",14217,"Dec 10-11","All-Japan Team Championships","AA",NA,13.566,12.9,11.7,NA,"Serita Mikako","Japan",2003-07-11,NA,2023,20
"14218",14218,"Jun 18-19","All-Japan Event Championships","EF",NA,13.7,NA,NA,NA,"Serita Mikako","Japan",2003-07-11,NA,2023,20
"14219",14219,"Jun 18-19","All-Japan Event Championships","QF",NA,13.633,NA,NA,NA,"Serita Mikako","Japan",2003-07-11,NA,2023,20
"14220",14220,"May 14-15","NHK Trophy","AA",13,13.566,11.133,12.4,50.099,"Serita Mikako","Japan",2003-07-11,NA,2023,20
"14221",14221,"Apr 21-24","All-Japan Championships","AA",13.333,13.466,11,12.233,50.032,"Serita Mikako","Japan",2003-07-11,NA,2023,20
"14222",14222,"Apr 21-24","All-Japan Championships","QF",13.5,13.833,12.133,12.433,51.899,"Serita Mikako","Japan",2003-07-11,NA,2023,20
"14223",14223,"Dec 11-12","All-Japan Team Championships","AA",13.9,13.9,12.366,12.333,52.499,"Serita Mikako","Japan",2003-07-11,NA,2022,20
"14224",14224,"May 15-16","NHK Trophy","AA",13.966,12.233,12.266,12.333,50.798,"Serita Mikako","Japan",2003-07-11,NA,2022,20
"14225",14225,"Apr 15-18","All-Japan Championships","AA",13.866,13.633,12.266,12.533,52.298,"Serita Mikako","Japan",2003-07-11,NA,2022,20
"14226",14226,"Apr 15-18","All-Japan Championships","QF",13.9,12.3,12.233,12.566,50.999,"Serita Mikako","Japan",2003-07-11,NA,2022,20
"14227",14227,"Dec 10-13","All-Japan Championships","AA",14.066,13.633,12.366,12.266,52.331,"Serita Mikako","Japan",2003-07-11,NA,2021,20
"14228",14228,"Dec 10-13","All-Japan Championships","QF",14.1,13.766,12.233,12.366,52.465,"Serita Mikako","Japan",2003-07-11,NA,2021,20
"14229",14229,"Sep 20-22","All-Japan Senior Championships","AA",14.1,13.333,11.433,12.533,51.399,"Serita Mikako","Japan",2003-07-11,NA,2021,20
"14230",14230,"Nov 9-10","All-Japan Team Championships","AA",NA,13.2,NA,NA,NA,"Serita Mikako","Japan",2003-07-11,NA,2020,20
"14231",14231,"Aug 12-17","All-Japan Junior Championships","AA",13.366,13.133,12.566,12.333,51.398,"Serita Mikako","Japan",2003-07-11,NA,2020,20
"14232",14232,"Jun 21-23","All-Japan Event Championships","EF",13.433,NA,NA,NA,NA,"Serita Mikako","Japan",2003-07-11,NA,2020,20
"14233",14233,"Jun 21-23","All-Japan Event Championships","QF",13.583,NA,NA,12.1,NA,"Serita Mikako","Japan",2003-07-11,NA,2020,20
"14234",14234,"Apr 26-28","All-Japan Championships","QF",14.033,12.433,11.866,12.333,50.665,"Serita Mikako","Japan",2003-07-11,NA,2020,20
